ID,FearID,fear,JoyID,joy,LoveID,love,SadID,Sadness,SurpriseID,surprise,AngerID,anger,NoEmotionID,none,NoOfEmotions,Include,Question Text
56094441,56094441,notfear,56094441,NoJoy,56094441,notlove,56094441,notsadness,56094441,surprise,56094441,NotAnger,56094441,,1,Yes,"""I am using Google Vision API to extract the text (handwritten plus computer-written) from images of application forms. The response is a long string like the following.The string:The whole response isn't useful for me, however I need to parse the response to get specific fields like Name, Father's Name, NIC No., Gender, Age, DoB, Domicile, and Contact No.I am defining patterns for each of these fields using regular expression library (re) in Python. For example:Output:However these are not robust patterns, and I don't know whether this approach is good or not. I also cannot extract the fields that are on same line, like Gender and Age.How do I solve this problem?"""
53815181,53815181,notfear,53815181,NoJoy,53815181,notlove,53815181,notsadness,53815181,notsurprise,53815181,NotAnger,53815181,NoEmotion,0,Yes,"""Hi I am working on a project where I have a source image in s3 bucket and I want to compare it with images in my local computer. I have already set up aws cli. Here is the code. My image is in some bucket 'bx' with name 's.jpg'. Now I want to read it so I called get_object method and used open() to read but it didn't worked.I get an error :"""
54683853,54683853,notfear,54683853,NoJoy,54683853,notlove,54683853,notsadness,54683853,notsurprise,54683853,NotAnger,54683853,NoEmotion,0,Yes,"""On google cloud vision you get charged per request. If you do a ""Label Detection"" you get a free ""Safe Search"" but it has to be rolled into the same request. I have working code for both the Label Detection and the Safe Search detection but I am not sure how to combine the two into one request.Someone had answered this question in Python but not sure how to translate it in PHP.Does anyone know how I could call them in PHP? Any insight would be appreciated. Thanks.######### Safe Search would look as follows"""
54122545,54122545,notfear,54122545,Joy,54122545,love,54122545,notsadness,54122545,notsurprise,54122545,NotAnger,54122545,,2,Yes,"""Is there any way to stop/cancel any Rekognition operation which was started earlier through its jobId or similar thing?To elaborate it, lets assume that I have started a label detection operation using startLabelDetection method through which I get a jobId. I want to have an option to cancel/stop it ( also it would be great to have pause option ;) while the process is in progress.I went through the documentation but did't find any clue."""
56065772,56065772,notfear,56065772,NoJoy,56065772,love,56065772,notsadness,56065772,notsurprise,56065772,NotAnger,56065772,,1,Yes,"""I want to extract handwritten text from an application form using Google Vision API's text detection feature.  It greatly extracts the handwritten text but gives very unorganized JSON type response, which I don't know how to parse because I want to extract only the specific fields like name, contact number, email, etc. and store them into MySQL database.Code ():Response from API:"""
50133223,50133223,notfear,50133223,NoJoy,50133223,notlove,50133223,notsadness,50133223,surprise,50133223,NotAnger,50133223,,1,Yes,"""We are using Google Cloud Vision APIs to extract Invoice fields. We would like to know whether the APIs support detection of table of data? Or do we have to write custom code to detect tables?"""
52419957,52419957,notfear,52419957,NoJoy,52419957,notlove,52419957,notsadness,52419957,notsurprise,52419957,NotAnger,52419957,NoEmotion,0,YES,"""Through my IBM Cloud account, I have registered a Watson Visual Recognition service.Then I tried using their API to upload an image '' to my bucket associated with this service and then get some analysis on that image.I have tried the code available atTill the API and bucket validation, code works fine but throws errorI can see that this file is available in my bucket.Code:My current directory for IBM cloud notebook is"""
38811303,38811303,notfear,38811303,Joy,38811303,love,38811303,notsadness,38811303,notsurprise,38811303,NotAnger,38811303,,2,Yes,"""I have been wrecking my brain over this for a while and would really appreciate if someone who have some insight into this problem could help me out!I am trying to upload an image to Watson's Visual Recognition API using POST from Android Studio (by taking a picture using a camera).I have managed to- save image after taking a picture with a camera- show it as a bitmap image on the appand I am trying to upload the file to the Watson API, but I keep getting this errorI would really appreciate if anyone could provide some insight to what I am doing wrong here. Thanks in advance!I am using HttpUrlConnection and DataOutputStream to POST right now and the code is as follows:imgName and imgPath are all correctly identified, and name=""images_file"" is how Watson Visual Recognition API requests name to be"""
56285629,56285629,notfear,56285629,NoJoy,56285629,notlove,56285629,notsadness,56285629,surprise,56285629,NotAnger,56285629,,1,Yes,"""I am usingto detect Japanese texts in the image. The response from Google contains texts like this: ""text"": ""\u5065\u5eb7\u4fdd\u967a."" I don't know which ""encoder"" Google is using for encoding japanese texts, UTF-8 or Unicode?"""
55590797,55590797,notfear,55590797,NoJoy,55590797,notlove,55590797,notsadness,55590797,surprise,55590797,NotAnger,55590797,,1,Yes,"""I have been trying to integrate AWS Kinesis Video Stream with Rekognition in an Android app and haven't been able to get best tutorials for the same.I want to implement Facial Recognition and I am stuck at the step of PutMedia. In the demo/documentation provided by Amazon, I found details related toJava Producer Library and SDKonly and nothing related to Android Producer Library and SDK where I need to use Android app as Kinesis Producer and stream the video to the Rekognition service.Is there any alternative ofPutMediafor Android? Ifyes, what is it and how to implement it? And ifno, how to implement PutMedia in an Android App with AWS Android Producer Library and SDK.I have already referred the following links so far:Required Complete flow is as below:Detect the face from the streaming Video.If the match of the face is found then return True otherwise False."""
54612783,54612783,notfear,54612783,NoJoy,54612783,notlove,54612783,notsadness,54612783,notsurprise,54612783,NotAnger,54612783,NoEmotion,0,Yes,"""I am currently working on an Android app where I want to integrate the Google Cloud Vision API and do Facial Recognition on images.The code I implemented so far to make this work:The Layout XML File:The Log message:I basically don t know why the app crashes there with a null object reference and would appreciate any hints and feedback, thanks!"""
55685353,55685353,notfear,55685353,NoJoy,55685353,notlove,55685353,notsadness,55685353,notsurprise,55685353,NotAnger,55685353,NoEmotion,0,Yes,"""I'm trying to evaluate Google vision endpoint. my pom is configured like belowThere are no other google dependency added. I see below conflict within the vision dependency itself.When I run the code I'm getting below error.I believe this has something to do with mismatched versions. but got no idea which one to use and how to fix dependency issues within the same jar."""
48670839,48670839,notfear,48670839,NoJoy,48670839,notlove,48670839,notsadness,48670839,notsurprise,48670839,NotAnger,48670839,NoEmotion,0,Yes,"""I'm trying to use the Google Vision API in C# for an image with text on multiple lines. I want each line to be a separate string, but the API puts it all into 1 string.I tried filtering by capitals at the beginning, but some lines have capitals at the beginning of each word, so it's not always just at the beginning of each line.How can I change it so that it takes in each line separately? Since all the lines are in the same place in the image each time, could I crop it using C# to get each line individually?Thanks :)"""
51336137,51336137,notfear,51336137,NoJoy,51336137,notlove,51336137,notsadness,51336137,surprise,51336137,NotAnger,51336137,,1,Yes,"""I followed the AWS Rekognition Developer Guide and wrote a stream processor using CreateStreamProcessor in Java.}But I can't figure out how to start the stream processor? Do I have to simply write the main method and callfunction? Or do I have to do something else: like the guide mentioned something as?"""
45260779,45260779,notfear,45260779,NoJoy,45260779,notlove,45260779,notsadness,45260779,surprise,45260779,NotAnger,45260779,,1,Yes,"""say that I have images and I want to generate labels for them in Spanish - does the Google Cloud Vision API allow to select which language to return the labels in?"""
49575082,49575082,notfear,49575082,NoJoy,49575082,love,49575082,notsadness,49575082,notsurprise,49575082,NotAnger,49575082,,1,Yes,"""I know this might be a relatively generic question, but I'm trying to see how I can get pointed in the right direction...I'm trying to build a live face recognition app, using AWS Rekognition. I'm pretty comfortable with the API, and using static images uploaded to S3 to perform facial recognition. However, I'm trying to find out a way to stream live data into Rekognition. After reading the various articles and documentation that Amazon makes available, I found the process but can't seem to get over one hurdle.According to the docs, I can use Kinesis to accomplish this. Seems pretty simple: create a Kinesis video stream, and process the stream through Rekognition. The producer produces the stream data into the Kinesis stream and I'm golden.The problem I have is the producer. I found that AWS has a Java Producer library available (). Great... Seems simple enough, but now how do I use that producer to capture the stream from my webcam, and send off the bytes to Kinesis? The sample code that AWS provided actually uses static images from a directory, no code to get it integrated with an actual live source like a webcam.Ideally, I can load my camera as an input source amd start streaming. But I can't seem to find any documentation on how to do this.Any help, or direction would be greatly appreciated."""
49520402,49520402,notfear,49520402,Joy,49520402,notlove,49520402,notsadness,49520402,notsurprise,49520402,NotAnger,49520402,,1,Yes,"""I have a c# WinForms project with a picture box that contains a document with text.  I am gathering the OCR data for the document using the Google Cloud Vision API, which works great.  Using the bounding rectangles returned from the Google API, I am drawing rectangles around each word using DrawRectangle, and in the process I am associating that rectangle with the underlying word.  What do I need to do to be able to just click on any given rectangle and know exactly which rectangle it is without having to take the point clicked and loop through all the coordinates of all the rectangles until I find it."""
47991101,47991101,notfear,47991101,NoJoy,47991101,notlove,47991101,notsadness,47991101,notsurprise,47991101,NotAnger,47991101,NoEmotion,0,Yes,"""Am trying to OCR around 50,000 documents(~20K size jpegs). Currently using a homegrown tesseract based solution but are looking to migrate to google vision for better accuracyBased on quotas published atmy calculation is600 requests/min with upto 16 images per request will give us a throughput of 9600 OCRs per minute.Has anyone done any bulk operations using google vision? We did some POCS where some of these bulk requests are taking ~5mins."""
52169264,52169264,notfear,52169264,NoJoy,52169264,notlove,52169264,notsadness,52169264,notsurprise,52169264,NotAnger,52169264,NoEmotion,0,Yes,"""I'm having trouble saving the output given by the Google Vision API. I'm using Python and testing with a demo image. I get the following error:Code that I executed:the output appears on the screen, however I do not know exactly how I can save it. Anyone have any suggestions?"""
40921512,40921512,notfear,40921512,NoJoy,40921512,notlove,40921512,Sadness,40921512,surprise,40921512,NotAnger,40921512,,2,Yes,"""I'm trying to develop an application that extracts text from a screenshot and with these data (numbers and texts) I do something. It works but not as I expected, it isn't accurate at all. The strange thing is that the same screenshot at the same resolution is recognized in a different way by my application and the ""try api"" onI noticed that google Keep OCR work better than my app, it use the same api? what can i do for improve the text recognition in my app as google Keep or google vison api site?here is my code:"""
47982254,47982254,notfear,47982254,NoJoy,47982254,notlove,47982254,notsadness,47982254,notsurprise,47982254,NotAnger,47982254,NoEmotion,0,Yes,"""I have a flow which I use to get an image from the IBM Object storage and pass it to a Watson Visual Recognition node for classification using a custom classifier I had trained. A few weeks earlier it stopped working and the visual recognition node would throw an error saying ""Invalid JSON parameter received. Unable to parse."". I used ""change"" nodes to set the parameters of the message to be classified as shown here:I noticed that if I delete the node in which I set the Classifier Id, then I get no error and the image is classified using the default classifier. I tried using a function node to set the parameters using the following code, but I got the same error:In addition, if I set the classifier to ""Default"" the image should be classified using the default classifier according to the visual recognition node's info page. However I still get the same error. Here is an example of a message passed for classification:Some extra info from the visual recognition node's result:"""
55606918,55606918,notfear,55606918,Joy,55606918,notlove,55606918,notsadness,55606918,notsurprise,55606918,NotAnger,55606918,,1,Yes,"""I am using below code to connect to Google Vision API. I have JSON from Google Vision.The code is giving me below error . Not Sure why..Please suggest.. It is working fine on Windows Server Machine but not on my Windows 7 machine.Below is code and Error Details."""
52829583,52829583,notfear,52829583,NoJoy,52829583,notlove,52829583,notsadness,52829583,notsurprise,52829583,Anger,52829583,,1,Yes,"""I was trying to make the google vision OCR regex searchable. I have completed it and works pretty well when the document contains only English characters. But it fails when there is the text of other languages.It's happening because I have only English characters in google vision word component as follows.As I can't include characters from all the languages, I am thinking to include the inverse of above. Something likefor example.So where can I findALL THE SPECIAL CHARACTERS WHICH ARE IDENTIFIED AS A SEPARATE WORD BY GOOGLE VISION?Trial and error, keep adding the special characters I find is one option.But that would be my last option."""
45095486,45095486,fear,45095486,NoJoy,45095486,notlove,45095486,notsadness,45095486,notsurprise,45095486,NotAnger,45095486,,1,Yes,"""I have downloaded the google vision api from. And I tried Barcode detector example, When I try to scan a linear and 2D barcodes, the scanned area(purple shape) shows in wrong location on preview layer.Note: This issue only occurs when I hold the device horizontally at the top of barcode.Herewith I have attached the screenshot which reflects this issue.Thank you!"""
50805054,50805054,notfear,50805054,NoJoy,50805054,notlove,50805054,notsadness,50805054,notsurprise,50805054,NotAnger,50805054,NoEmotion,0,Yes,"""I am trying to perform OCR on PDF files using google cloud vision, to do some basic testing i am using the sample code provided in google documentation in the below link, but the line of code provided below is throwing unicode decode error given below, can anyone please help me fix this, i did an extensive search and tried different approaches but i am unable to fix it.Error: UnicodeDecodeError: 'utf-8' codec can't decode byte 0xa1 in position 11: invalid start byte"""
41285556,41285556,notfear,41285556,NoJoy,41285556,notlove,41285556,notsadness,41285556,notsurprise,41285556,NotAnger,41285556,NoEmotion,0,Yes,"""I tried Google Cloud Vision api (TEXT_DETECTION) on 90 degrees rotated image. It still can return recognized text correctly. (see image below)That means the engine can recognize text even the image is 90, 180, 270 degrees rotated.However the response result doesn't include information of correct image orientation. (document:)Is there anyway to not only get recognized text but also get theorientation?Could Google support it similar to (: getRollAngle)"""
55330723,55330723,fear,55330723,NoJoy,55330723,love,55330723,notsadness,55330723,surprise,55330723,NotAnger,55330723,,3,Yes,"""I have a question for azure custom vision. I have a custom vision project for object detection. And I use the python SDK to create the project (see that:). But I found something wrong in the process of uploading. For example, there is a picture that has 3 persons in this picture. So I tag 3 same class  person  in this picture. But after uploading, I just found 1 ""person"" tagged in this picture at the custom vision website. But the other class is fine, such as can also have ""person"", ""car"", and ""scooter"" at this picture. It looks like that can only have single same class at the picture.I tried to use python SDK (see that:) to upload my picture and tag information.The above code can see that I uploaded three ""A0"" class in 0001.jpg. But in the GUI interface on the website, I can only see that one ""A0"" class exists above 0001.jpg finally. Is there anything solution that can solve this problem?"""
45122248,45122248,notfear,45122248,NoJoy,45122248,notlove,45122248,notsadness,45122248,notsurprise,45122248,NotAnger,45122248,NoEmotion,0,Yes,"""I was using ruby client of Google Cloud Vision, to extract the vehicle information on Automobile Original Titles.Observations:When I used the client API, i was getting 171 words.But, when I used the google's API demo here:, I got 459 words. It has much of the information I was looking for.Can anyone please explain, how to get the most out of the API ?"""
49558215,49558215,notfear,49558215,NoJoy,49558215,notlove,49558215,notsadness,49558215,notsurprise,49558215,NotAnger,49558215,NoEmotion,0,Yes,"""I am trying to invoke IndexFaces API but getting an error :I was able to upload my file successfully into S3 using the so called ""folder structure""of S3 . But when I am trying to read the same file for IndexFaces , then it's prompting an error related to  xternalImageId'.Here is the snapshot from the S3 of my uploaded file :If I get rid of folder structure and directly dump the file , like :then the IndexFaces API is passing it successfully .Can you please suggest how to pass the externalImageId when I do have the 'folder structure'? Currently I am passing the externalImageId through my java code like :Above code internally calls :"""
50756150,50756150,notfear,50756150,NoJoy,50756150,notlove,50756150,notsadness,50756150,notsurprise,50756150,NotAnger,50756150,NoEmotion,0,Yes,"""I am trying to collect the SYS and DIA values from bp monitors ( Ex.) using Google Vision API, but i am not able to get the calculator font digits in the response ( I just get the other texts ).Is there a way to detect particular fonts using GCP Vision API?"""
51076368,51076368,notfear,51076368,NoJoy,51076368,love,51076368,notsadness,51076368,notsurprise,51076368,NotAnger,51076368,,1,Yes,"""I am usingGoogle Visionforfacial detection, everything works fine but we have to know that if we are actually detecting actualHuman, One may try to play thevideo containing a Humanso we want to know if it is fromvideo/Imageor an originalhuman being?Is there any way toachieveit, I have search throughout for 2 days and did not get any lead on this,please guideme through thisthanks."""
46516494,46516494,fear,46516494,Joy,46516494,notlove,46516494,notsadness,46516494,notsurprise,46516494,NotAnger,46516494,,2,Yes,"""I know this is a frequently asked question, but I couldn't find an answer. I am trying out a Microsoft Emotion API (I've used the generic key here for the purpose of asking the question), and it keeps giving me the error, ""is a namespace but is used as a type"" even when I change the namespace. I changed the namespace to a more appropriate title, but I still received the build error thatwas inappropriately used as a type, despite the fact it was nowhere in the code. I don't know where else I'm using it that it is creating this issue.Here is my code:"""
50190527,50190527,notfear,50190527,NoJoy,50190527,notlove,50190527,notsadness,50190527,notsurprise,50190527,NotAnger,50190527,NoEmotion,0,Yes,"""I am trying to perform OCR on pdf documents using google cloud vision API, i uploaded a pdf document into a cloud bucket and downloaded the oauth key file and added it in the script as below. But when i run the file, i get the permissiondenined: 403 error, can anyone please give me instructions on how to fix it, i did extensive google search and did not yield any results, i am surely missing something here.os.environ[""GOOGLE_APPLICATION_CREDENTIALS""]=""mykeylocation/key1.json""I have checked the older stack overflow questions and the links provided in answers are not active anymore.Thanks in advance for your help."""
54634576,54634576,notfear,54634576,Joy,54634576,love,54634576,notsadness,54634576,notsurprise,54634576,NotAnger,54634576,,2,Yes,"""To start, I'm quite inexperienced with APIs in general. I'm trying to do a simple Java app that calls the Google Cloud Vision Api but I keep running into the same issue that I can't really find any information on whatsoever.I've cloned downwith code samples straight from Google. I've built the project usingand it all works fine. However, when I'm to try it (using the exact commands stated in the README), it doesn't work at all.First I get anmessage in the log stating:After that follows:This error message really doesn't make any sense to me at all. I haven't done anything with netty whatsoever, neither have I been instructed to do anything with it (install dependencies or so).I got my environment variablepointing to my JSON with my API credentials inside it. I really don't know what to do here, extremely thankful for any pointers."""
55665919,55665919,notfear,55665919,NoJoy,55665919,notlove,55665919,notsadness,55665919,notsurprise,55665919,NotAnger,55665919,NoEmotion,0,Yes,"""I'm trying to send photo from Imgur via URL adress to Microsoft Face API and get ID of face from Json response but when I try to run the code, I always get JSON parsing error. I have no idea what I am doing wrong.I tried to make this request via Postman and everything is working fine there but in c# it just won't work.Can you help me please?The C# request body looks like this:Whereas the Postman request body looks like this:"""
55793092,55793092,notfear,55793092,NoJoy,55793092,notlove,55793092,notsadness,55793092,surprise,55793092,NotAnger,55793092,,1,Yes,"""I am designing an android app that will scan mathematical equations using google vision(OCR) and solve them using the Wolfram API. So far I am through with the OCR part but I can't find a way of integrating Wolfram into my app. It seems they have no dependencies(or so I have concluded).What is the correct way of integrating this into my app? I haven't found anything on the internet since yesterday."""
54353716,54353716,notfear,54353716,NoJoy,54353716,notlove,54353716,notsadness,54353716,notsurprise,54353716,NotAnger,54353716,NoEmotion,0,Yes,"""I'm testing IBM's Watson Visual Recognition using Node-RED, I've trained it to identify some elements in the image, but I wonder if it's possible to get the exact position of these elements."""
55276425,55276425,notfear,55276425,NoJoy,55276425,notlove,55276425,notsadness,55276425,notsurprise,55276425,NotAnger,55276425,NoEmotion,0,Yes,"""I am using the upper mentioned library (Google Cloud Vision Client Library v1) in PHP to assign labels to images... so far so good. It all works, except it returns fewer results than on the google test page... as far as I understand it has to do with a ""max_results"" parameter which defaults to 10, but I am not able to find where/how to set it manually...There was a similar question here on Python and there it was as simple as passing it as a parameter - I have tried many options to do this in PHP, but apparently I am doing something wrong...Here is a link to the documentation :I am guessing I have to pass it to the ""optionalArgs"" parameter... but not exactly sure how to do this...Here is more or less what my code is:Anyone got an idea how to getmore resultsin the $labels array?"""
52126752,52126752,notfear,52126752,NoJoy,52126752,notlove,52126752,notsadness,52126752,surprise,52126752,NotAnger,52126752,,1,Yes,"""I am trying to call google cloud vision api from xamarin C# android application code.I have set environment variable but still I was not able to call api.So I decided to call it by passing credential json file but now I am getting error deserializing JSON credential datahere is my code"""
49732951,49732951,notfear,49732951,NoJoy,49732951,notlove,49732951,notsadness,49732951,surprise,49732951,NotAnger,49732951,,1,Yes,"""I am testing few sample code for OCR using Google Cloud Vision API. I observed the APIs can able to detectEnglishlanguage very easily from an Image but  in other language likeHindi, the APIs are not able to detect.MyCode :Image :But the same image, i have tried in Google Drive, all the text from the image is easily detected.Please let me know, same image how can i use in the code to detect the text?"""
56216376,56216376,notfear,56216376,NoJoy,56216376,notlove,56216376,notsadness,56216376,notsurprise,56216376,NotAnger,56216376,NoEmotion,0,Yes,"""We are trying to extract the text from an image using google-cloud-vision API:In this code, we need to make the API read the image through the 'cv2' function only, instead of using the 'io' function:Any suggestion will be helpful"""
52848248,52848248,notfear,52848248,NoJoy,52848248,notlove,52848248,notsadness,52848248,surprise,52848248,NotAnger,52848248,,1,Yes,"""I am using google vision API and trying to get the text from the captured image.I have set the captured image in an image view and then I am trying to get the text from the image. but I am getting SparseArray of size 0. what can be the problem. Here is my java code.here is my main activity xml file.The main thing is when i set image manually in an imageView it shows the result but when i capture the image by my self and then i try to get the text i am not getting the results i am always gets a 0 sized array."""
47361521,47361521,notfear,47361521,NoJoy,47361521,notlove,47361521,notsadness,47361521,notsurprise,47361521,NotAnger,47361521,NoEmotion,0,Yes,"""I'm using Python to make a query to Google's Vision API to obtain labels from an image, but I'm not able to set a timeout in case I don't receive a response within a given time.I'm using the following code based onof CallOptions.This is my code:I have tried passing directly the arguments into the call to Google without success, like this:"""
45720587,45720587,notfear,45720587,NoJoy,45720587,notlove,45720587,notsadness,45720587,notsurprise,45720587,NotAnger,45720587,NoEmotion,0,Yes,"""I'm running app engine locally, with the Google vision API.  I'm using the application default credentials for OAuth and building the API client to do label detection.  Whenever I create the object it will refresh the credentialsThis worked just fine yesterday, and I haven't changed it.  When I try to use it today, it attempts to get the credentials twice, and then I get the following 401 error:Why was this working yesterday but isn't working today?  I understand that I can go the route of using server-to-server credentials, but it worked without that and I would prefer to continue using the API without that."""
51195006,51195006,notfear,51195006,NoJoy,51195006,notlove,51195006,notsadness,51195006,notsurprise,51195006,NotAnger,51195006,NoEmotion,0,Yes,"""I am following the following Google Cloud Vision quickstart:This is using the API Explorer, and I getI have created a bucket named vision2018, and checked Share Publicly for the file.My portion of the request related to the file is:The response I get is:What do I need to specify in order to access files in my GCP storage?Alternatively, I read other Stack Overflows that talk about GOOGLE_APPLICATION_CREDENTIALS, Simple API Key, and ""Create Service account key and download the key in JSON format"", ...  but these seem to be giving commands in the shell, which this quickstart doesn't even open.Is there initial setup assumed prior to the quickstart?I am not ready to call the api from code"""
50703766,50703766,notfear,50703766,NoJoy,50703766,notlove,50703766,notsadness,50703766,notsurprise,50703766,NotAnger,50703766,NoEmotion,0,Yes,"""I'm trying to use IBM Watson Visual Recognition tool with nodejs (express).I followed the instruction from the, but I can't connect with the tool.When I run my nodejs app, I got this messageDoes someone know the solution to this authentification problem?"""
47436472,47436472,notfear,47436472,NoJoy,47436472,notlove,47436472,notsadness,47436472,notsurprise,47436472,NotAnger,47436472,NoEmotion,0,Yes,"""I am using the Socket IO-Swift library in my current project. After installing the Socket.IO-Client-Swift pod file into my project, my FMDB library path is not found, showing this error:I'm using the following pods in my podfile:"""
48840806,48840806,notfear,48840806,NoJoy,48840806,notlove,48840806,notsadness,48840806,notsurprise,48840806,Anger,48840806,,1,Yes,"""I am trying to implement face detection using Google Mobile Vision in an Android app. In the app, I have an Imageview and a button with text, ""Process"".When the button is clicked, the code connects with Google's Vision API and detects the face. After detecting the face, I am trying to draw a rectangle around the face. For that purpose I am using ""Canvas"" available in Android.The error (not exactly) is I am unable to see the rectangle around the face. Here is the code in my MainActivity.java file:The output after I click the ""Process"" button in the app is as follows:In the logcat of Android studio, I can see the message ""Face detected successfully"". So, I am assuming that all my code is running. But I am unable to see the rectangle.Please help me with displaying a rectangle first. Later I will adjust it to display around the face."""
50331196,50331196,notfear,50331196,NoJoy,50331196,notlove,50331196,notsadness,50331196,notsurprise,50331196,NotAnger,50331196,NoEmotion,0,Yes,"""In my Java project I'm using Google Cloud Vision API to extract text from images. For text extraction I'm using the following.Today, I've found that Google has changed the limits for maximum file size. Previously it was 4 MB.Now, based onand, the maximum image file size should be20 MBfor images hosted on Cloud Storage or at a publicly-accessible URL. Also there is maximum JSON request object size (10 MB).I'm using option with images hosted on Cloud Storage. For images larger than ~7.95 MB (12000 x 6500) I'm getting an error message:For images with lower size I'm getting correct response. I know that there is a recommended size 1024 x 768 for TEXT_DETECTION and DOCUMENT_TEXT_DETECTION feature but, according to the following note, higher size should not be problem:Is there something I did not notice?Note: I'm getting the same error when calling the Vision API directly (see)."""
45313874,45313874,notfear,45313874,Joy,45313874,notlove,45313874,notsadness,45313874,surprise,45313874,NotAnger,45313874,,2,Yes,"""I'm searching for a list of all the possible image labels that the Google Cloud Vision API can return?I believe they used the same labels the following project:I thought of two possible methods of getting these labels:Sending thousands of different images to the API and recording the returned labels (I would automate this)Going through all the Google Open Image data (which I linked above), and recording the labels.I'm not sure how I could do option 2, and was hoping that someone had already done one of these options.Please let me know if there already exists a list like the one I am describing, or there is a better method of obtaining it (than the two which I thought of).Thanks a lot for any help!"""
